engine,depth,resting,p50,p99,p99_9,samples
naive,10,46,339.0,765.0,932.0,24021
fast,10,59,123.0,295.0,547.0,159945
naive,25,116,531.0,1403.0,1782.0,24149
fast,25,134,119.0,335.0,625.0,161288
naive,50,202,875.0,2454.0,7909.0,24353
fast,50,251,117.0,372.0,694.0,162612
naive,100,431,1198.0,3991.0,9075.0,24269
fast,100,402,154.0,477.0,944.0,162123
naive,250,1041,2441.0,8301.0,28086.0,24211
fast,250,1004,123.0,482.0,839.0,161993
naive,500,1999,5083.0,18072.0,72967.0,24080
fast,500,2012,154.0,608.0,1073.0,161064
naive,1000,4001,16693.0,75638.0,299383.0,23811
fast,1000,4008,195.0,718.0,1127.0,160573
naive,2000,8019,54062.0,183064.0,422406.0,22253
fast,2000,8033,271.0,807.0,1142.0,160332
